City,CPAD Area,"CPAD Acres per 1,000 inh."
Bakersfield,6409,25.90
Beaumont,9590,842.40
California City,30662,3656.80
Carlsbad,4229,54.00
Cathedral City,2705,63.40
Chico,5977,99.70
Chino Hills,10535,157.70
Chula Vista,6113,35.20
Coronado,8055,334.20
El Paso de Robles,7829,259.00
Encinitas,2674,46.10
Escondido,13460,100.80
Folsom,4790,92.30
Fremont,21245,104.40
Glendale,5857,30.00
Hayward,12248,87.50
Highland,2803,62.80
Indian Wells,3367,882.20
Irvine,8062,56.40
La Quinta,7899,333.40
Lake Elsinore,8887,307.20
Lake Forest,3092,52.70
Los Angeles,42559,11.50
Menlo Park,3686,119.70
Moreno Valley,3270,23.00
Newport Beach,5728,81.80
Novato,7553,158.60
Oakland,7004,17.50
Oceanside,3319,20.60
Pacifica,3438,89.60
Palm Desert,3160,76.80
Palm Springs,28982,677.00
Palmdale,4596,39.40
Palo Alto,6963,118.80
Portola Valley,2928,656.20
Poway,5030,104.70
Redding,3671,45.40
Redwood City,3730,49.50
Rio Vista,3905,854.30
Riverside,3155,12.40
Sacramento,5475,13.50
San Diego,34050,27.80
San Francisco,5744,7.40
San Jose,20840,23.30
San Rafael,3899,69.50
Santa Rosa,2768,18.80
Thousand Oaks,12642,108.00
Union City,3370,50.40
Vallejo,2861,24.50
Walnut Creek,3090,48.10
