County,ac_tot,POP_NORM,Tot_Pop
Alameda,476565,315,1515136
Alpine,474266,396212,1197
Amador,387827,10270,37764
Butte,1073263,4876,220101
Calaveras,662840,14566,45507
Colusa,740383,34713,21329
Contra Costa,481394,458,1052047
Del Norte,648861,22770,28496
El Dorado,1144947,6345,180441
Fresno,3850607,4138,930517
Glenn,849132,30242,28078
Humboldt,2293951,17079,134317
Imperial,2868458,16534,173487
Inyo,6546558,354366,18474
Kern,5221435,6222,839153
Kings,890800,5861,151982
Lake,850980,13222,64360
Lassen,3021450,87255,34628
Los Angeles,2611372,265,9840024
Madera,1377575,9146,150615
Marin,336285,1330,252759
Mariposa,935607,51427,18193
Mendocino,2247878,25667,87577
Merced,1261432,4920,256398
Modoc,2689712,281793,9545
Mono,2003703,141295,14181
Monterey,2121212,5097,416199
Napa,505857,3702,136644
Nevada,623852,6332,98521
Orange,508921,168,3021840
Placer,960108,2743,350074
Plumas,1672709,83946,19926
Riverside,4673122,2131,2192982
Sacramento,636078,447,1422348
San Benito,889408,16035,55467
San Bernardino,12867927,6305,2041029
San Diego,2712151,875,3100500
San Francisco,30238,37,807755
San Joaquin,912595,1328,687036
San Luis Obispo,2124267,7864,270121
San Mateo,290479,403,721183
Santa Barbara,1760915,4157,423594
Santa Clara,831659,465,1788393
Santa Cruz,285713,1089,262340
Shasta,2465233,13874,177693
Sierra,615316,194536,3163
Siskiyou,4062266,90933,44673
Solano,544111,1314,414209
Sonoma,1016737,2103,483456
Stanislaus,970173,1883,515115
Sutter,389436,4116,94615
Tehama,1892926,29951,63200
Trinity,2052766,149914,13693
Tulare,3099338,7014,441877
Tuolumne,1457657,26404,55205
Ventura,1189161,1445,822794
Yolo,653450,3253,200873
Yuba,411821,5700,72244
