City,Total CPAD Acreage,"CPAD Acres per 1,000 Inh.",City Population
Anaheim,5108,15.1,337471
Bakersfield,5841,16.8,347091
Chula Vista,4776,19.7,242499
Concord,1320,10.8,122683
Corona,477,3.1,153644
East Los Angeles,93,0.7,126751
Elk Grove,1097,7.2,151639
Escondido,12951,89.7,144311
Fontana,1883,9.6,196129
Fremont,20155,93.7,215188
Fresno,2288,4.6,495777
Fullerton,1082,8.0,135419
Garden Grove,1592,9.3,171377
Glendale,9073,47.1,192537
Hayward,14365,99.0,145165
Huntington Beach,2615,13.7,191403
Irvine,10198,47.7,213880
Lancaster,213,1.4,155496
Long Beach,2083,4.5,463589
Los Angeles,45409,11.9,3804503
Modesto,1567,7.8,201986
Moreno Valley,3678,19.0,193758
Oakland,4009,10.2,392890
Oceanside,3121,18.6,167799
Ontario,245,1.5,165260
Orange,4520,33.0,136891
Oxnard,1182,6.0,197456
Palmdale,4582,30.2,151841
Pasadena,4760,34.7,137316
Pomona,388,2.6,149431
Rancho Cucamonga,408,2.5,165775
Riverside,2485,8.1,306128
Roseville,2444,20.4,119537
Sacramento,5850,12.5,467467
Salinas,601,4.0,150634
San Bernardino,1518,7.2,210624
San Diego,49489,37.8,1308619
San Francisco,5767,7.1,807755
San Jose,19639,20.6,954379
Santa Ana,1823,5.6,326608
Santa Clara,333,2.9,116301
Santa Clarita,3975,22.6,175922
Santa Rosa,2901,17.3,167207
Simi Valley,3284,26.5,123942
Stockton,1135,3.9,292262
Sunnyvale,2058,14.6,141123
Thousand Oaks,12985,102.6,126570
Torrance,420,2.9,145443
Vallejo,6584,56.6,116417
Visalia,741,6.0,123905
